datetime,store,item,qty,price
2022-10-10T18:37:36Z,Naivas - Kitengela Mall,Ensave E/Saver 14W 3U B22,1,418
2022-10-10T18:37:36Z,Naivas - Kitengela Mall,Non wooven packaging bag,1,10
2022-10-08T19:20:09Z,Eastleigh Mattresses Limited - Kitengela,B/Side Dairy Best 500ml (fino),12,62
2022-10-08T19:20:09Z,Eastleigh Mattresses Limited - Kitengela,Fay t/paper wht 8's unwrapped,1,436
2022-10-08T19:20:09Z,Eastleigh Mattresses Limited - Kitengela,Daz milk flavour 180G mill,1,50
2022-10-08T19:20:09Z,Eastleigh Mattresses Limited - Kitengela,Joy Super Bites Mandazi 180G,2,50
2022-10-08T19:20:09Z,Eastleigh Mattresses Limited - Kitengela,TCB NAT Hair Sheen Spray 250ML,1,325
2022-10-08T19:20:09Z,Eastleigh Mattresses Limited - Kitengela,Face Towel Heavy 14*14 Madhura,2,235
2022-10-06T20:36:01Z,Eastleigh Mattresses Limited - Kitengela,Bella serviettes 48s,2,115
2022-10-06T20:36:01Z,Eastleigh Mattresses Limited - Kitengela,Morning F/D/W liquid zesty 750ML,1,299
2022-10-06T20:36:01Z,Eastleigh Mattresses Limited - Kitengela,Farasi match box,1,35
2022-10-06T20:36:01Z,Eastleigh Mattresses Limited - Kitengela,Non wooven packaging bag,1,15
2022-10-01T11:15:00Z,Comrades Computer Garage,Lenovo Thinkvision screen,1,16500
2022-09-30T19:32:56Z,Eastleigh Mattresses Limited - Kitengela,Ev red 80*2AAA 1012bp2 eve110,1,89
2022-09-29T19:23:37Z,Eastleigh Mattresses Limited - Kitengela,Royal Woofer RL-602,1,7795
2022-08-31T14:50:59Z,Eastleigh Mattresses Limited - Kitengela,Golden Barrel Brown 600G,1,90
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Brookside DairyBest Milk 500ML,12,60
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Pembe Maize Meal 2kg,1,200
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Daawat Aromatic Rice 5kg,1,1620
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Downy Feel Luxurious 1.38L,1,899
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Fresh Fri Cooking Oil 3LTR,1,1268
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Blue King Body Wash,1,590
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Geisha Black Soap 225G,2,155
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Blue Band Medium Fat 500G,1,280
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Ariel Touch Of Downy 1KG,1,399
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Cosy Paper Serviettes 100s,2,115
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Ushindi Cream Bar Soap,1,250
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Colgate Vap Diaction Twin Pack,1,100
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Colgate Tp CDC Charcoal Gentle 120G,1,250
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Versman Luxurious Body Lotion 400ML,1,305
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Nuteez P/Butter Smooth 800GM,1,530
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Kericho Gold Env Tea Bags 50s,1,177
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Kenpoly Food Mate No.6 SQR,2,310
2022-09-03T19:58:12Z,Naivas - Kitengela Mall,Safisha Groovy Sponge 4s,1,215
2022-08-21T18:46:04Z,Pambazuka Mart,Goat Meat 1/2KG,1,300
2022-07-30T19:31:49Z,Eastleigh Mattresses Limited - Kitengela,Festive Supreme Whole Meal Bread,1,60
2022-07-29T20:57:17Z,Eastleigh Mattresses Limited - Kitengela,Golden Barrel Brown 600G,1,90
